Embedding File,MSE,Accuracy,Hit_Percent,Correlation,Correlation Sig,Spearman,Spearman Sig,wind,size,mod,dig,tash,preprocessing
controldigFalsetashFalsemod1size200wind4.txt,0.1984,0.3536,1.0,0.5989,4.53322217844e-24,0.57603868045,5.37885771769e-22,4,200,1,False,False,control
controldigFalsetashTruemod1size100wind4.txt,0.1648,0.3196,1.0,0.5894,3.46090916769e-23,0.573320294172,9.26187616995e-22,4,100,1,False,True,control
controldigTruetashTruemod1size200wind4.txt,0.2009,0.3564,1.0,0.5886,4.05904421048e-23,0.568716697991,2.29842103442e-21,4,200,1,True,True,control
controldigFalsetashFalsemod0size200wind4.txt,0.2151,0.3679,1.0,0.5662,3.78674121048e-21,0.565392063149,4.39221472795e-21,4,200,0,False,False,control
controldigTruetashTruemod1size100wind4.txt,0.1731,0.3285,1.0,0.5641,5.59259907441e-21,0.556589352992,2.35656980118e-20,4,100,1,True,True,control
controldigTruetashTruemod0size200wind7.txt,0.2262,0.3774,1.0,0.5435,2.61662541258e-19,0.552888245862,4.70589449185e-20,7,200,0,True,True,control
controldigTruetashTruemod0size200wind4.txt,0.218,0.3705,1.0,0.5632,6.74007055756e-21,0.552736802408,4.8400879451e-20,4,200,0,True,True,control
lemmasdigFalsetashTruemod0size200wind4.txt,0.1757,0.3256,0.0,0.5509,8.15164528703e-20,0.550882125209,8.19123462894e-20,4,200,0,False,True,lemmas
lemmasdigTruetashTruemod1size200wind4.txt,0.1768,0.3273,0.0,0.5348,1.46263472888e-18,0.550809266682,8.30157362335e-20,4,200,1,True,True,lemmas
tokensdigTruetashFalsemod0size200wind4.txt,0.1752,0.3338,1.0,0.465,6.72597340325e-14,0.546668619837,1.47597440625e-19,4,200,0,True,False,tokens
